source,review_id,0,developer_response_date,thumbs_up,language_code,country_code
App Store,57877f5e-2dba-4359-bd49-0b8cf916217a,"Let me tell you- all of the previous reviews are old. I’ve been on this app for the since 2019 & will honestly be here until I die. Hoping it lasts that long. 🙏🏽 I’ve been searching for a way to understand my spendings between categories, month over month & watching my budget. This is everything & more. I love the personalization that I can add my own catergories, mark a specific merchant as something once and never have to touch it again & even exclude things like transactions between my accounts. This is the app if you’re anal about how you spend your money & it even helps if I want to budget for let’s say shopping. I love it. Please note I am a premium user & to me it’s worth it. But I’m sure the free version is equally as good. The other apps mint, your bank, random ones only work if you have a goal. But for me, I want to know where, what & compare my spendings month over month so I can see how I’m doing. Or if I need to stop spending! 

Anyway highly recommend. And two last things- 1) they’re IT or support literally responds within 48 hours. You’re never left hanging and no question is stupid. 2) the app is constantly evolving. It’s not the same as it was two years ago, it’s better! If there’s a bug, report it! If you have a suggestion, suggest it! I love all the latest updates & it really helps me think of how I’m spending my money which was my ultimate goal. Thank you!!",,,en,us
App Store,66c76bfc-b99a-4b01-938c-4e0407071872,"I’ve literally never written a review for an app before, but I had to because I felt so strongly about the quality of this app. I used mint for a long time bc it was free and got the job done, but recently, Mint stopped supporting my bank (USAA). So, I was on the market for a new budgeting app and stumbled upon PocketGuard. I have to say, I’m extremely impressed. I love the ability to save for my goals without having to think about it. I love how it calculates my estimated monthly income so that I don’t have to do the mental math when it comes to budgeting. I love the notifications it gives me when I spend too much on a particular category. I love the customizable budget categories (not an option under Mint). This is truly the greatest budgeting app I’ve ever used, and I’ve been budgeting my money very persistently for about a decade now. Also, the customer service is probably the best I’ve ever come into contact with, across any business or platform. You have a question? Email them and you’ll get a response back within 24 hours. In fact I emailed them once with a question and received a response back within 30 minutes. Overall, this is a fantastic budgeting app and I couldn’t recommend it more.",,,en,us
App Store,19088734-2bc4-459b-94c1-2c154764b816,"I’ve tried 5 or 6 apps over the years. PocketGuard is the best. I like that I can just assess daily spending, not investments. It is easy enough to use that I do use it, and catching up is easy if I get behind. The team responds to questions quickly and have always answered my questions. There is one merchant that entries frequently default to, even when they are repeated expenditures that PocketGuard should have learned by now. I would like to see a yearly view of my spending categories in addition to monthly; hopefully that is planned. One small thing I would like is to see a number for total food (groceries and eating out combined) somewhere. I am always tracking that, as it’s the most important area to control. I really like the split transaction feature they added. Overall, PocketGuard has made a dramatic difference in understanding my spending and controlling it. I think I’ve used it for 4 years now and that’s a record for any financial app except Excel or a brokerage site.",,,en,us
App Store,24b9ba22-41ef-4a4a-bdd8-cf80dff41fea,"Finally! An app that let’s me track my expenses real time…and accurately! I have tried 14 other budgeting apps in the last year and each one had something buggy about it, or the process flow didn’t make sense. I used to use Mint but there are too many problems with syncing transactions, etc. This app does all the things I expected the other apps to do and has other cute features (icons for each budget). I’m sticking with this one from now on. After playing with it for a few hours I bought the annual subscription which is reasonable compared to the other apps I’ve tried. My only request is that the Spending and Budgeting screen should be easier to get to once the app opens, since I use it daily to make sure I’m staying within each budget category.",,,en,us
App Store,a3ae1093-1caa-472a-87bc-e62ed587ca03,"I love pocketguard, but too frequently there are errors that make it impossible to use. I get the same Error 940 ""Puppetmaster"" error all the time which prevents the app from connecting with my bank. It will sometimes work for a day or two then be in error again for week or so after. Customer support didn't really even respond to my e-mail, just an automated response asking for more details when I literally sent them a screen shot, and it's their own error message. I was considering buying pro, because when it works it's awesome and has literally helped me prevent overdrafts and stick to a budget but it doesn't really work very often. Aside from the broken bits, my recommendation would be the ability to select a date and see how much will be needed for bills in that time frame. It currently only shows end of month, but I always end up needing to bust out paper and pencil and manually (navigating away from the app logs out, so can't even use the calculator app at the same time) add figures to see what I need by next payday, as opposed to month.",,,en,us
App Store,7b986648-d69a-487c-96b6-63795ca966af,"This app has made it so easy to see where our money has gone and is going to go. My new husband and I decided to share accounts and we were struggling to relax into that after independently controlling our finances for so long… this has made it so much easier! I had to contact customer support one time and they were incredibly prompt and helpful. I knocked off a star because I wish it was able to do the following (but would have only knocked off only half a star if it was an option):

1) I wish you could choose to carry over unspent budgets to the next month. ie If I underspend this month on ‘home’, the budget is bigger the following month to purchase a more expensive item.

2) I wish it could learn and adapt. We pay two bills to Banfield Pet Plan each month that come up as BP. When we buy gas from BP, it goes into bills because it think it’s the same. So a couple of times a month, I have to manuallly change names and categories - sometimes I have to re-enter the banfield bills and then, when they are paid, they don’t register as the ones planned. This is a niche and minor issue but slightly annoying nonetheless.

3) I wish it was a little more prompt in identifying new transactions. Sometimes the banking app will detail transactions as no longer pending and it’ll take a day or two for them to appear on PocketGuard.

These are minor things that I’d like the developers to consider BUT overall I love this app!",,,en,us
App Store,c0b38c7a-b613-4580-80d4-4ae2cf2ede3b,"As many people have said it that the app is very good. It logs for most parts of it accurately all the expenses better than other budgeting apps. However where it lags really behind is that they have not figured out a good partnership with the major banks and credit cards on how to get the synchronization perfected to be able to download the transactions seamlessly. I have problems with PNC and American Express. These are two bigger reputable institutions. I hope pocketguard really talks with those institutions and gets this fixed.

If they can get it fixed which I don’t see why they can’t  I will surely give them 5 stars. It’s like the restaurant has a very good atmosphere but if the food is bad somebody may not want to go back. Similarly the app is super good however if the synchronization keeps failing time to time people are going to have to decide and leave because without the transactions being able to be downloaded the app is no good which is so good in other ways. Please please fix. I am counting on PoxketGuard to come through it. Thanks",,,en,us
App Store,7d7e6787-a4d6-4dc4-8eee-8bae4305f11c,"PocketGuard is an excellent budgeting app that helps users keep track of their finances and manage their money with ease. The app's interface is user-friendly, and it offers a variety of features to help users stay on top of their spending habits, such as tracking bills, setting spending limits, and monitoring savings goals.

One of the standout features of PocketGuard is its exceptional customer service. The app's support team is highly responsive, friendly, and helpful. They provide prompt assistance to users who encounter issues or have questions about the app's features.

Many users also rave about the app's reliability and accuracy. PocketGuard pulls in data from bank accounts and credit cards to give users a comprehensive view of their financial situation. The app updates in real-time, so users can see their spending habits and account balances as they happen.

Overall, PocketGuard is a must-have app for anyone looking to get a better handle on their finances. It offers a range of features and tools to help users manage their money effectively, and its excellent customer service sets it apart from other budgeting apps on the market.",,,en,us
App Store,776b0fcc-ab04-442d-b63a-6a7ffb9ee69e,"I needed an app that would allow me to setup budget categories and monitor my spending (based on accounts I linked to it). It does that and it does it fairly well. I do have to constantly go in everyday to update the category for which it falls in, but I’m just very particular in how I want my expenditures categorized. I may try using the hashtag feature to simplify things. I also like how it notifies you when you get close to hitting your limits. Moreover it’s all free! There’s a paid version to unlock more features, but for me those aren’t necessary. 

The only downside I’ve noticed is that it doesn’t update or show your expenditures in real time. Meaning, I usually have to wait 2-3 days before an expense is posted which can be frustrating when needing to know where you stand at any given moment in terms of your budget... which is sort of the purpose of the app right?",,,en,us
App Store,9b1d2efe-b72e-4a7c-8395-fdb27de9f49d,"This app is great if you want something very basic to track your expenses. Bank accounts sync flawlessly, and it is easy to make a custom budget and track purchases.

Where it needs work though is in the integration of the “Spending Limits” category into the rest of the app. For some reason they have 2 separate categories for “Bills” and “Spending Limits.” I am sure most people, like me, primarily use the “Spending Limits” portion which is not really used for any data integration in the rest of the app.

I would like to see “Spending Limits” integrated into the “Overview” tab and future monthly income accounted for in the “Overview” space. It would also be nice to see some changes made in the “Insights” tab. Ideally, “Spending Limits” would be broken into macro categories and these macro categories would comprise the pieces of the pie chart under “Insights.”",,,en,us
App Store,949e87e8-6029-4867-87fa-4e5fdc03dce5,"I really like the idea of having an app that tells you how much is safe to spend without endangering your bills money. It does a pretty good job of categorizing automatically, the need to re-categorize is minimal. However, it’s detecting one of my savings accounts as checking and I have found no way of changing that. Adding such function would be great. Also, maybe allowing us to add an expense for the future would be nice. I added money to the cash account, which was reserved for a transaction a few days into the future. It didn’t let me add anything for the future. So I’ll have to come into the app when it happens in October and add it which doesn’t really make sense. Overall the apps is great, and it’s the closest I’ve found to what I want which is an app like Level Money which is now gone. There is still room for a few improvements.",,,en,us
App Store,089cc737-02f6-4a19-bae2-f53c1c3123f6,"Every transaction is placed into a specific category (in 9/10 cases it's accurate) so you have a great insight on how much you have spent on coffee shops and books, on clothing and sports etc. Having the full picture will help you to understand how do your spending habits look like now and how do you need to change them. To be honest, it was difficult to stay on budget even after a couple of months of using the app. I was really shocked when having seen my 'in my pocket' negative a week before the next month starts. I couldn't believe I'd overspent with my credit card so much... PocketGuard won't change your life, only you can do it. But this app is a great assistant which definitely makes this change go easier.",,,en,us
App Store,9789d8c1-954f-49d9-9528-a3b55450b809,"I like the concept of PocketGuard, but there are a few elements missing to really make it good- being able to split transactions into different categories (not all my grocery store trips are just for groceries), constant bank connecting issues, and you need to upgrade to categorize certain things (gas, coffee shops, etc). I also noticed I only got push notifications AFTER opening the app- that kinda defeats the purpose of saying “hey you’re close to your budget on ____ don’t overspend”. 

I do like that I could connect my main bank and see each account within in it including all of my different shares assigned to that account (checking, savings, trip savings, savings for Christmas, car loan, etc) and decide which to see every log in. The app is very esthetically pleasing and easy to navigate. I did google a few things to figure it how to do it.",,,en,us
App Store,aa2fa7c4-de94-4ade-ae28-60fb85e7f46a,"I absolutely love this app! I used to use the prism app but they started to have system issues and when I tried to address them, I would be waiting over a month to get a response. So I tried this  app called Pocket Guard.  I read a bunch of reviews on a what everyone considered “The best finance apps”. This one stuck out to me the most. They really thought about the user interface and how the consumer would have to use the app. I thoroughly enjoy discovering all the features and information this app provides. I don’t need to use any other app once I set everything up. The customization of categories is such a great feature that I opted to pay the annual subscription rate. Great job Pocket Guard! 👍🏻⭐️⭐️⭐️⭐️⭐️",,,en,us
App Store,3e7ad53d-d8c3-4293-8892-84bb7b98a0bb,"I was recommended to download this app three months ago but decided to leave a review only now. I didn't like the that categories are not totally customized at first, but then technical support gave me several hints on how to use their hashtags system. I wasn't sure it will work for me... But it did! I was able to create multiple spending reports with distinct categories without merging everything into one (#lifestyle report contained Sporting Goods + Gym + Food + Massage). Moreover, you can add multiple hashtags to one transaction and it will make the insights deeper and all-encompassing. they also have additional features related to savings or lowering the bills. I am completely satisfied and definitely will use it in the future.",,,en,us
